0.35,25,,,0.37,-25,,,0.39,-75,,,0.41,-125,,,0.43,-175,
1.70E+00,2.20E-07,7.42E-01,,1.70E+00,1.51E-07,7.00E-02,,1.85E+00,9.74E-08,2.90E-02,,1.87E+00,1.44E-07,2.80E-02,,1.89E+00,1.33E-07,2.80E-02
1.80E+00,2.53E-07,1.84E+00,,1.80E+00,1.86E-07,3.16E-01,,1.95E+00,1.84E-07,1.80E-01,,1.97E+00,1.81E-07,1.91E-01,,1.99E+00,2.06E-07,2.14E-01
1.90E+00,2.72E-07,3.56E+00,,1.90E+00,2.41E-07,8.59E-01,,2.05E+00,2.43E-07,5.77E-01,,2.07E+00,2.26E-07,5.57E-01,,2.09E+00,2.27E-07,6.15E-01
2.00E+00,3.13E-07,6.12E+00,,2.00E+00,2.70E-07,1.75E+00,,2.15E+00,2.79E-07,1.43E+00,,2.17E+00,2.77E-07,1.53E+00,,2.19E+00,2.78E-07,1.50E+00
2.10E+00,3.57E-07,9.36E+00,,2.10E+00,3.16E-07,3.55E+00,,2.25E+00,3.19E-07,2.71E+00,,2.27E+00,3.13E-07,2.74E+00,,2.29E+00,3.08E-07,2.93E+00
2.20E+00,3.98E-07,1.26E+01,,2.20E+00,3.57E-07,6.00E+00,,2.35E+00,3.41E-07,4.21E+00,,2.37E+00,3.41E-07,4.14E+00,,2.39E+00,3.55E-07,4.36E+00
2.30E+00,4.42E-07,1.58E+01,,2.30E+00,3.83E-07,8.26E+00,,2.45E+00,3.72E-07,6.31E+00,,2.47E+00,3.76E-07,6.15E+00,,2.49E+00,3.71E-07,5.65E+00
2.40E+00,4.76E-07,1.89E+01,,2.40E+00,4.23E-07,1.06E+01,,2.55E+00,4.07E-07,7.78E+00,,2.57E+00,4.00E-07,7.77E+00,,2.59E+00,3.96E-07,7.41E+00
2.50E+00,5.03E-07,2.15E+01,,2.50E+00,4.51E-07,1.35E+01,,2.65E+00,4.24E-07,9.53E+00,,2.67E+00,4.24E-07,9.40E+00,,2.69E+00,4.24E-07,9.52E+00
2.60E+00,5.21E-07,2.32E+01,,2.60E+00,4.72E-07,1.56E+01,,2.75E+00,4.50E-07,1.15E+01,,2.77E+00,4.50E-07,1.12E+01,,2.79E+00,4.59E-07,1.10E+01
2.70E+00,5.37E-07,2.41E+01,,2.70E+00,4.87E-07,1.82E+01,,2.85E+00,4.72E-07,1.22E+01,,2.87E+00,4.71E-07,1.19E+01,,2.89E+00,4.65E-07,1.15E+01
2.80E+00,5.43E-07,2.44E+01,,2.80E+00,5.09E-07,1.90E+01,,2.95E+00,4.96E-07,1.21E+01,,2.97E+00,4.89E-07,1.19E+01,,2.99E+00,4.88E-07,1.16E+01
2.90E+00,5.48E-07,2.36E+01,,2.90E+00,5.23E-07,1.89E+01,,3.05E+00,5.02E-07,1.26E+01,,3.07E+00,4.97E-07,1.22E+01,,3.09E+00,5.00E-07,1.17E+01
3.00E+00,5.46E-07,2.40E+01,,3.00E+00,5.28E-07,1.87E+01,,3.15E+00,5.11E-07,1.28E+01,,3.17E+00,5.11E-07,1.22E+01,,3.19E+00,5.07E-07,1.19E+01
3.10E+00,5.38E-07,2.54E+01,,3.10E+00,5.39E-07,1.87E+01,,3.25E+00,5.20E-07,1.36E+01,,3.27E+00,5.18E-07,1.32E+01,,3.29E+00,5.12E-07,1.30E+01
3.20E+00,5.43E-07,2.68E+01,,3.20E+00,5.41E-07,1.96E+01,,3.35E+00,5.31E-07,1.40E+01,,3.37E+00,5.30E-07,1.38E+01,,3.39E+00,5.31E-07,1.33E+01
3.30E+00,5.53E-07,2.81E+01,,3.30E+00,5.49E-07,2.10E+01,,3.45E+00,5.47E-07,1.51E+01,,3.47E+00,5.45E-07,1.44E+01,,3.49E+00,5.42E-07,1.40E+01
3.40E+00,5.58E-07,2.87E+01,,3.40E+00,5.66E-07,2.18E+01,,3.55E+00,5.68E-07,1.50E+01,,3.57E+00,5.65E-07,1.45E+01,,3.59E+00,5.64E-07,1.43E+01
3.50E+00,5.65E-07,2.88E+01,,3.50E+00,5.76E-07,2.13E+01,,3.65E+00,5.84E-07,1.52E+01,,3.67E+00,5.85E-07,1.43E+01,,3.69E+00,5.79E-07,1.41E+01
3.60E+00,5.66E-07,2.91E+01,,3.60E+00,5.85E-07,2.18E+01,,3.75E+00,6.02E-07,1.46E+01,,3.77E+00,5.89E-07,1.45E+01,,3.79E+00,5.93E-07,1.43E+01
3.70E+00,5.68E-07,3.00E+01,,3.70E+00,5.90E-07,2.21E+01,,3.85E+00,5.97E-07,1.55E+01,,3.87E+00,6.07E-07,1.46E+01,,3.89E+00,5.97E-07,1.47E+01
3.80E+00,5.67E-07,3.09E+01,,3.80E+00,5.99E-07,2.26E+01,,3.95E+00,6.13E-07,1.61E+01,,3.97E+00,6.12E-07,1.55E+01,,3.99E+00,6.19E-07,1.55E+01
3.90E+00,5.74E-07,3.23E+01,,3.90E+00,6.02E-07,2.31E+01,,4.05E+00,6.12E-07,1.71E+01,,4.07E+00,6.21E-07,1.65E+01,,4.09E+00,6.18E-07,1.62E+01
4.00E+00,5.82E-07,3.34E+01,,4.00E+00,6.09E-07,2.45E+01,,4.15E+00,6.15E-07,1.76E+01,,4.17E+00,6.25E-07,1.70E+01,,4.19E+00,6.36E-07,1.68E+01
4.10E+00,5.79E-07,3.40E+01,,4.10E+00,6.20E-07,2.55E+01,,4.25E+00,6.19E-07,1.81E+01,,4.27E+00,6.30E-07,1.73E+01,,4.29E+00,6.26E-07,1.73E+01
4.20E+00,5.86E-07,3.51E+01,,4.20E+00,6.19E-07,2.68E+01,,4.35E+00,6.30E-07,1.87E+01,,4.37E+00,6.31E-07,1.83E+01,,4.39E+00,6.26E-07,1.74E+01
4.30E+00,5.99E-07,3.60E+01,,4.30E+00,6.27E-07,2.70E+01,,4.45E+00,6.40E-07,1.96E+01,,4.47E+00,6.33E-07,1.90E+01,,4.49E+00,6.48E-07,1.85E+01
4.40E+00,5.94E-07,3.64E+01,,4.40E+00,6.29E-07,2.76E+01,,4.55E+00,6.48E-07,2.06E+01,,4.57E+00,6.54E-07,2.02E+01,,4.59E+00,6.50E-07,1.94E+01
4.50E+00,6.08E-07,3.73E+01,,4.50E+00,6.25E-07,2.86E+01,,4.65E+00,6.52E-07,2.10E+01,,4.67E+00,6.57E-07,2.08E+01,,4.69E+00,6.73E-07,1.99E+01
4.60E+00,6.12E-07,3.81E+01,,4.60E+00,6.45E-07,2.96E+01,,4.75E+00,6.56E-07,2.15E+01,,4.77E+00,6.63E-07,2.11E+01,,4.79E+00,6.66E-07,2.09E+01
4.70E+00,6.22E-07,3.88E+01,,4.70E+00,6.51E-07,3.06E+01,,4.85E+00,6.74E-07,2.23E+01,,4.87E+00,6.63E-07,2.16E+01,,4.89E+00,6.85E-07,2.13E+01
4.80E+00,6.28E-07,3.93E+01,,4.80E+00,6.59E-07,3.08E+01,,4.95E+00,6.78E-07,2.28E+01,,4.97E+00,6.87E-07,2.26E+01,,4.99E+00,6.78E-07,2.14E+01
4.90E+00,6.32E-07,3.94E+01,,4.90E+00,6.75E-07,3.18E+01,,5.05E+00,7.00E-07,2.32E+01,,5.07E+00,7.24E-07,2.31E+01,,5.09E+00,7.20E-07,2.21E+01
5.00E+00,6.44E-07,4.01E+01,,5.00E+00,6.78E-07,3.23E+01,,5.15E+00,7.10E-07,2.43E+01,,5.17E+00,7.28E-07,2.34E+01,,5.19E+00,7.37E-07,2.30E+01
5.10E+00,6.66E-07,4.12E+01,,5.10E+00,6.94E-07,3.29E+01,,5.25E+00,7.47E-07,2.49E+01,,5.27E+00,7.36E-07,2.47E+01,,5.29E+00,7.50E-07,2.40E+01
5.20E+00,6.89E-07,4.17E+01,,5.20E+00,7.25E-07,3.40E+01,,5.35E+00,7.63E-07,2.55E+01,,5.37E+00,7.64E-07,2.53E+01,,5.39E+00,7.72E-07,2.46E+01
5.30E+00,6.92E-07,4.18E+01,,5.30E+00,7.24E-07,3.44E+01,,5.45E+00,7.78E-07,2.66E+01,,5.47E+00,7.76E-07,2.58E+01,,5.49E+00,7.75E-07,2.49E+01
5.40E+00,7.03E-07,4.24E+01,,5.40E+00,7.48E-07,3.54E+01,,5.55E+00,7.87E-07,2.65E+01,,5.57E+00,7.91E-07,2.62E+01,,5.59E+00,7.90E-07,2.58E+01
5.50E+00,7.26E-07,4.32E+01,,5.50E+00,7.66E-07,3.61E+01,,5.65E+00,8.11E-07,2.77E+01,,5.67E+00,7.93E-07,2.65E+01,,5.69E+00,8.28E-07,2.67E+01
5.60E+00,7.28E-07,4.33E+01,,5.60E+00,7.68E-07,3.61E+01,,5.75E+00,8.19E-07,2.85E+01,,5.77E+00,8.19E-07,2.73E+01,,5.79E+00,8.25E-07,2.70E+01
5.70E+00,7.49E-07,4.39E+01,,5.70E+00,7.81E-07,3.72E+01,,5.85E+00,8.25E-07,2.85E+01,,5.87E+00,8.34E-07,2.81E+01,,5.89E+00,8.25E-07,2.76E+01
5.80E+00,7.44E-07,4.40E+01,,5.80E+00,7.89E-07,3.77E+01,,5.95E+00,8.44E-07,2.94E+01,,5.97E+00,8.28E-07,2.81E+01,,5.99E+00,8.33E-07,2.78E+01
5.90E+00,7.63E-07,4.45E+01,,5.90E+00,8.09E-07,3.80E+01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
